folio;hogar;s1a_01;s1a_02;s1a_02b;s1a_03;s1a_04;s1a_05;s1a_05b;s1a_06;s1a_07;s1a_07b;s1a_08;s1a_08b;s1a_09;s1a_09b;s1a_10;s1a_11;s1a_12;s1a_13;s1a_14;s1a_15;s1a_16;s1a_16b;s1a_17_1a;s1a_17_1b;s1a_17_2a;s1a_17_2b;s1a_17_3a;s1a_17_3b;s1a_17_4a;s1a_17_4b;s1a_17_4c;s1a_18_1a;s1a_18_1b;s1a_18_2a;s1a_18_2b;s1a_18_3a;s1a_18_3b;s1a_18_4a;s1a_18_4b;s1a_18_5a;s1a_18_5b;s1a_18_5c;s1a_19;s1a_20;s1a_20b;s1a_21;s1a_22;s1a_23;s1a_24;s1a_25;s1a_26;depto;prov;mun;urbrur;upm;estrato;dia;mes;anio;factor_ant;factor
"42-04399667249-D0161";1;1;2;"";;25;2;"";1;1;"";1;"";6;"";0;2;;1;1;15;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;1;1;2;;2;"04";"0406";"040603";2;"42-04399667249-D";5;3;12;2014;351;352
"42-04426922997-D0041";1;2;2;"";;100;2;"";1;2;"";1;"";2;"";0;6;;;1;15;1;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;1;1;2;;2;"04";"0406";"040601";2;"42-04426922997-D";4;29;11;2014;255;256
"42-04426922997-D0081";1;2;2;"";;50;2;"";1;4;"";1;"";2;"";0;6;;;1;20;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;3;1;2;;2;"04";"0406";"040601";2;"42-04426922997-D";4;30;11;2014;255;256
"42-04426922997-D0131";1;2;2;"";;100;2;"";2;4;"";1;"";7;"";0;6;;;1;25;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;2;1;2;;2;"04";"0406";"040601";2;"42-04426922997-D";4;30;11;2014;255;256
"42-04426922997-D0171";1;2;5;"";;50;2;"";2;4;"";1;"";7;"";0;6;;;1;0;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;1;1;2;;2;"04";"0406";"040601";2;"42-04426922997-D";4;30;11;2014;255;256
"42-04426922997-D0211";1;2;2;"";;50;2;"";2;1;"";1;"";1;"";999;6;;;1;20;2;"";2;;2;;2;;2;"";;1;10000;2;;2;;2;;2;"";;1;1;"";0;2;1;2;;2;"04";"0406";"040601";2;"42-04426922997-D";4;29;11;2014;255;256
"42-04426922997-D0261";1;2;2;"";;30;2;"";2;4;"";1;"";1;"";2;6;;;1;15;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;2;"";0;3;1;2;;2;"04";"0406";"040601";2;"42-04426922997-D";4;29;11;2014;255;256
"42-04426922997-D0301";1;2;2;"";;50;2;"";2;4;"";1;"";2;"";250;6;;;1;30;1;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;2;1;2;;2;"04";"0406";"040601";2;"42-04426922997-D";4;30;11;2014;255;256
"42-04426922997-D0351";1;1;2;"";;50;2;"";2;1;"";5;"";1;"";3;6;;;1;50;4;"";2;;2;;1;300;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;2;1;2;;2;"04";"0406";"040601";2;"42-04426922997-D";4;30;11;2014;255;256
"42-04426922997-D0391";1;2;2;"";;30;2;"";2;4;"";1;"";6;"";0;6;;;1;17;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";54;1;1;2;;2;"04";"0406";"040601";2;"42-04426922997-D";4;30;11;2014;255;256
"42-04426922997-D0441";1;1;2;"";;40;2;"";1;1;"";1;"";5;"";0;3;;1;1;24;2;"";1;300;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;2;"";0;3;1;2;;2;"04";"0406";"040601";2;"42-04426922997-D";4;30;11;2014;255;256
