folio;s1a_01;s1a_02;s1a_02b;s1a_03;s1a_04;s1a_05;s1a_06;s1a_07;s1a_07b;s1a_08;s1a_09;s1a_09b;s1a_10;s1a_10b;s1a_11;s1a_11b;s1a_12a;s1a_12b;s1a_13;s1a_14;s1a_15;s1a_16;s1a_17;s1a_18;s1a_19;s1a_20;s1a_20b;s1a_21_1a;s1a_21_1b;s1a_21_2a;s1a_21_2b;s1a_21_3a;s1a_21_3b;s1a_21_4a;s1a_21_4a1;s1a_21_4b;s1a_22_1a;s1a_22_1b;s1a_22_2a;s1a_22_2b;s1a_22_3a;s1a_22_3b;s1a_22_4a;s1a_22_4b;s1a_22_5a;s1a_22_5a1;s1a_22_5b;s1a_23;s1a_24;s1a_24a;s1a_25;s1a_26;s1a_27;s1a_28;s1a_29;s1a_30;departamento;area;upm;estrato;factor
"622-03016359836-A-0171";3;5;"";;2000;2;;1;"";1;1;"";6;"";1;"";24;0;30;1;1;1;;1;60;6;"";2;;1;2000;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;3;1;2;;1;6;1;"622-03016359836-A";"12";164
"622-03023691416-A-0081";1;5;"";;1500;2;;1;"";1;1;"";6;"";1;"";7;0;75;1;1;1;;1;45;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;3;3;2;;2;6;1;"622-03023691416-A";"12";123
"623-02609940724-A-0131";3;1;"";700;;2;;1;"";1;3;"";6;"";1;"";6;0;52;1;1;1;;1;90;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;3;2;2;;1;6;1;"623-02609940724-A";"13";156
"712-05271236671-A-0031";1;2;"";;800;2;;1;"";1;3;"";6;"";2;"";24;0;38;1;2;1;;1;80;6;"";2;;2;;1;100;1;"INSTALACION DE GAS DOMICILIARIO";2000;1;5000;2;;2;;2;;2;"";;1;4;"";8;2;1;2;;1;7;1;"712-05271236671-A";"12";312
"713-05201079745-A-0071";1;2;"";;1200;2;;1;"";1;2;"";6;"";1;"";24;0;130;1;1;1;;1;200;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;3;2;1;60;2;7;1;"713-05201079745-A";"13";345
"713-05201079745-A-0111";1;2;"";;600;2;;1;"";1;2;"";6;"";2;"";24;0;170;1;1;1;;1;120;6;"";1;1000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;2;1;1;50;2;7;1;"713-05201079745-A";"13";345
"714-05215958095-A-0091";1;2;"";;4500;2;;1;"";1;2;"";6;"";1;"";24;0;18;1;1;1;;1;160;6;"";1;1000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;8;4;1;50;1;7;1;"714-05215958095-A";"14";459
"714-05241499727-A-0091";3;1;"";2100;;2;;1;"";1;3;"";6;"";1;"";24;0;100;1;1;1;;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;2;1;2;;1;7;1;"714-05241499727-A";"14";589
"714-05258356184-A-0011";1;2;"";;1000;2;;1;"";1;2;"";6;"";1;"";24;0;45;1;1;1;;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;3;2;2;;1;7;1;"714-05258356184-A";"14";343
"722-05512629515-A-0111";4;6;"";;600;2;;1;"";1;2;"";6;"";1;"";24;0;25;1;2;1;;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";8;2;1;2;;2;7;1;"722-05512629515-A";"12";341
"812-00756089494-A-0171";1;1;"";800;;2;;1;"";2;2;"";6;"";5;"";;;60;1;2;1;;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";8;1;1;2;;2;8;1;"812-00756089494-A";"12";195
"144-03982264085-A-0111";1;2;"";;900;2;;2;"";1;2;"";6;"";9;"";;;12;1;1;1;;1;70;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";7;4;1;2;;2;1;2;"144-03982416068-A";"24";167
"313-05206646333-A-0151";1;1;"";600;;2;;1;"";1;2;"";6;"";1;"";3;0;25;2;;2;3;1;35;6;"";2;;2;;2;;2;"";;2;;2;;2;;1;100;2;"";;1;3;"";7;2;2;2;;2;3;1;"313-05206646333-A";"13";206
"313-05215620375-A-0281";4;1;"";400;;2;;1;"";1;3;"";6;"";1;"";0;15;20;1;1;2;2;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";7;1;0;2;;2;3;1;"313-05215620375-A";"13";206
"314-05266604277-A-0251";4;1;"";300;;2;;1;"";1;2;"";6;"";1;"";24;0;20;1;1;2;5;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";7;1;0;2;;2;3;1;"314-05266604277-A";"14";192
