dep;pro;can;ciu;area;zona;v00;v01;v02;v03;v04;v05;v06;v07;v081;v082;v083;v09;v10;v11;v12;v14;v15;v18h;v18m;i10v;i13v;v011;claviv;v18t;urb;folio;totpob;tothom;totmuj
9;95;0;99;1;1;6;14;1;2;4;5;4;3;1;3;3;1;3;2;1;1;3;1;5;4;11;1;9;6;1;1151620;6;1;5
9;95;0;99;1;1;6;11;1;5;1;1;4;3;3;4;3;1;2;1;2;1;3;1;0;5;11;1;4;1;1;1151621;1;1;0
9;95;0;99;1;1;6;11;1;5;1;1;4;3;1;3;3;1;1;0;2;2;3;2;2;6;11;1;4;4;1;1151622;4;2;2
9;95;0;99;1;1;6;11;1;7;1;1;2;1;1;2;1;1;8;2;1;1;3;1;1;7;11;1;11;2;1;1151623;2;1;1
9;95;0;99;1;1;6;11;1;3;1;3;2;1;1;2;1;1;1;0;2;2;3;1;0;8;11;1;2;1;1;1151624;1;1;0
9;95;0;99;1;1;6;11;1;5;1;1;4;3;1;3;3;1;2;1;1;1;3;2;2;9;11;1;4;4;1;1151625;4;2;2
9;95;0;99;1;1;6;11;1;5;1;1;4;3;1;3;3;1;2;1;1;1;3;1;1;10;11;1;4;2;1;1151626;2;1;1
9;95;0;99;1;1;6;11;1;3;1;3;4;3;1;2;3;1;5;3;1;1;3;2;2;11;11;1;2;4;1;1151627;4;2;2
9;95;0;99;1;1;6;14;1;5;4;1;4;3;1;3;3;1;4;2;1;1;3;3;3;12;11;1;5;6;1;1151628;6;3;3
9;95;0;99;1;1;6;13;1;5;1;1;4;3;3;4;3;1;2;1;2;5;3;1;0;13;11;1;4;1;1;1151629;1;1;0
9;95;0;99;1;1;6;13;1;5;1;1;4;3;3;4;3;1;2;1;2;5;3;1;0;14;11;1;4;1;1;1151630;1;1;0
9;95;0;99;1;1;6;13;1;5;1;1;4;3;3;4;3;1;2;1;2;5;3;1;0;15;11;1;4;1;1;1151631;1;1;0
9;95;0;99;1;1;6;11;1;5;1;1;4;3;1;3;3;2;3;1;1;1;3;1;1;16;11;1;4;2;1;1151632;2;1;1
9;95;0;99;1;1;5;11;1;5;1;1;4;3;1;3;3;1;3;2;1;1;3;2;2;17;11;1;4;4;1;1151633;4;2;2
9;95;0;99;1;1;5;11;2;8;8;8;8;8;8;8;8;8;888;888;8;8;8;0;0;18;0;1;0;0;1;1151634;;;
9;95;0;99;1;1;5;17;3;8;8;8;8;8;8;8;8;8;888;888;8;8;8;0;0;19;0;1;0;0;1;1151635;;;
9;95;0;99;1;1;5;14;1;1;4;3;4;3;3;4;3;2;2;1;1;1;3;2;1;20;11;1;11;3;1;1151636;3;2;1
9;95;0;99;1;1;5;11;1;5;1;3;4;3;1;3;3;1;3;1;1;1;3;1;1;21;11;1;4;2;1;1151637;2;1;1
9;95;0;99;1;1;16;11;1;3;1;1;1;1;1;2;1;1;2;1;2;5;3;1;0;22;11;1;2;1;1;1151638;1;1;0
9;95;0;99;1;1;16;11;1;3;1;1;1;1;1;2;1;1;2;1;2;5;3;1;0;23;11;1;2;1;1;1151639;1;1;0
9;95;0;99;1;1;14;14;1;2;4;3;2;1;1;3;1;1;2;1;1;1;3;2;2;1;11;1;11;4;1;1151640;4;2;2
9;95;0;99;1;1;14;14;1;5;4;1;2;1;1;3;3;1;1;0;2;5;3;0;2;2;11;1;5;2;1;1151641;2;0;2
9;95;0;99;1;1;14;14;1;5;4;1;2;1;2;3;3;1;2;1;2;5;3;1;0;3;11;1;5;1;1;1151642;1;1;0
9;95;0;99;1;1;14;14;1;5;4;1;2;1;2;3;3;1;1;0;2;5;3;0;4;4;11;1;5;4;1;1151643;4;0;4
9;95;0;99;1;1;14;14;1;5;4;3;4;5;3;4;3;1;1;0;2;2;3;2;4;5;11;1;5;6;1;1151644;6;2;4
