folio;departamento;n_hogar;s8_01;s8_02;s8_02e;s8_03;s8_04;s8_05;s8_05e;s8_06;s8_07;s8_07e;s8_08;s8_08e;s8_09;s8_09e;s8_10;s8_11;s8_12;s8_13;s8_14;s8_15;s8_16;s8_17;s8_17e;s8_181a;s8_181b;s8_182a;s8_182b;s8_183a;s8_183b;s8_184a;s8_184b;s8_184e;s8_191a;s8_191b;s8_192a;s8_192b;s8_193a;s8_193b;s8_194a;s8_194b;s8_195a;s8_195b;s8_195e;s8_20;s8_21;s8_21e;s8_22;s8_23;s8_24;s8_25;s8_26;s8_27;s8_28;s8_29;s8_30;s8_31;s8_32;s8_331;s8_332;s8_333;s8_334;s8_335;s8_34;upm;estrato;area;ccons;chabita;cserv;cviv2;factor_ant;factor
"10045030201";"01";1;1;2;"";;100;1;"";1;1;"";5;"";6;"";2;5;2;;;1;25;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;"";24;3;1;2;;2;;1;2;50;3;;;;;;;"100451103";"22";2;0;2;2;0;325;304
"10045030241";"01";1;1;2;"";;100;2;"";1;1;"";5;"";6;"";2;5;1;1;3;1;26;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;"";24;2;1;2;;2;;1;2;20;3;;;;;;;"100451103";"22";2;0;2;2;0;325;304
"10045030271";"01";1;1;2;"";;20;2;"";2;2;"";1;"";8;"DEL VECINO";4;0;2;;;1;5;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;1;1;2;;2;;2;;;3;;;;;;;"100451103";"22";2;0;3;2;0;325;304
"10045030311";"01";1;1;2;"";;50;3;"";1;1;"";5;"";6;"";2;5;2;;;1;50;5;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;"";25;3;2;1;1;2;;1;2;30;3;;;;;;;"100451103";"22";2;0;3;2;0;325;304
"10045030341";"01";1;1;2;"";;200;1;"";1;1;"";5;"";6;"";2;5;2;;;1;23;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;4;"";25;4;1;1;1;2;;1;2;20;3;;;;;;;"100451103";"22";2;0;2;2;0;325;304
"10045030381";"01";1;1;2;"";;150;2;"";1;2;"";5;"";6;"";2;4;2;;;1;20;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;5;1;2;;2;;1;1;10;3;;;;;;;"100451103";"22";2;0;3;2;0;325;304
"10045030411";"01";1;1;2;"";;50;1;"";2;2;"";5;"";6;"";1;5;1;1;3;1;35;5;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;"";30;5;1;2;;2;;1;2;30;3;;;;;;;"100451103";"22";2;0;3;2;0;325;304
"10069020011";"01";1;1;2;"";;10;2;"";2;4;"";1;"";6;"";4;0;2;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;1;2;;2;;2;;;3;;;;;;;"100690202";"22";2;-1;3;1;-1;222;208
"10069020051";"01";1;1;2;"";;30;2;"";1;4;"";1;"";6;"";2;0;2;;;1;14;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;"";25;2;1;2;;2;;1;1;20;3;;;;;;;"100690202";"22";2;-1;2;2;-1;222;208
"10069020091";"01";1;1;2;"";;50;2;"";2;1;"";1;"";6;"";3;0;2;;;1;25;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;4;"";30;2;1;1;1;2;;2;;;3;;;;;;;"100690202";"22";2;-1;1;2;-1;222;208
"10069020131";"01";1;1;2;"";;30;2;"";2;4;"";1;"";6;"";3;0;2;;;1;14;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;;2;;;3;;;;;;;"100690202";"22";2;-1;3;2;0;222;208
"10069020171";"01";1;1;2;"";;20;2;"";1;4;"";1;"";6;"";4;0;2;;;1;14;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;2;2;;2;;2;;;3;;;;;;;"100690202";"22";2;-1;2;2;-1;222;208
"10069020211";"01";1;1;2;"";;20;2;"";2;4;"";1;"";6;"";4;0;2;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;1;2;;2;;2;;;3;;;;;;;"100690202";"22";2;-1;3;1;-1;222;208
"10069020261";"01";1;1;2;"";;25;2;"";1;4;"";1;"";6;"";2;0;2;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;2;2;;2;;2;;;3;;;;;;;"100690202";"22";2;-1;3;1;-1;222;208
"10069020301";"01";1;1;2;"";;50;2;"";1;4;"";1;"";6;"";4;0;2;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;2;2;;2;;2;;;3;;;;;;;"100690202";"22";2;-1;3;1;0;222;208
"10069020341";"01";1;1;2;"";;50;4;"";1;2;"";1;"";6;"";4;0;2;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;;2;;;3;;;;;;;"100690202";"22";2;0;3;1;0;222;208
"10069020381";"01";1;1;2;"";;15;2;"";1;4;"";1;"";6;"";4;0;2;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;2;2;;2;;2;;;3;;;;;;;"100690202";"22";2;-1;3;1;-1;222;208
"10069020421";"01";1;1;2;"";;20;2;"";1;2;"";1;"";6;"";2;0;2;;;1;14;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;;2;;;3;;;;;;;"100690202";"22";2;0;3;2;0;222;208
"10069020461";"01";1;1;2;"";;10;2;"";1;2;"";1;"";6;"";2;0;2;;;1;14;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;4;2;2;;2;;2;;;3;;;;;;;"100690202";"22";2;0;3;2;0;222;208
"10100020021";"01";1;1;2;"";;50;2;"";2;4;"";1;"";7;"";4;0;2;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;;2;;;3;;;;;;;"101000202";"22";2;-1;3;1;0;301;282
"10100020071";"01";1;1;2;"";;50;2;"";2;4;"";1;"";6;"";2;2;2;;;2;;2;"";2;;2;;2;;2;;"";1;200;2;;2;;2;;2;;"";1;1;"";0;1;1;2;;2;;2;;;3;;;;;;;"101000202";"22";2;-1;2;1;-1;301;282
"10100020111";"01";1;1;2;"";;50;2;"";2;4;"";1;"";6;"";2;2;2;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;1;2;;2;;2;;;3;;;;;;;"101000202";"22";2;-1;3;1;0;301;282
"10100020161";"01";1;1;2;"";;50;2;"";2;4;"";1;"";6;"";2;2;2;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;2;2;;2;;2;;;3;;;;;;;"101000202";"22";2;-1;3;1;0;301;282
"10100020201";"01";1;1;2;"";;30;2;"";2;4;"";1;"";6;"";2;2;2;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;1;1;2;;2;;2;;;3;;;;;;;"101000202";"22";2;-1;2;1;-1;301;282
"10100020251";"01";1;1;2;"";;30;2;"";2;4;"";1;"";6;"";2;2;2;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;"";25;1;1;2;;2;;2;;;3;;;;;;;"101000202";"22";2;-1;3;1;0;301;282
"10100020301";"01";1;1;2;"";;20;2;"";2;4;"";1;"";6;"";2;2;2;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;1;2;;2;;2;;;3;;;;;;;"101000202";"22";2;-1;2;1;-1;301;282
"10100020341";"01";1;1;2;"";;10;2;"";2;4;"";1;"";6;"";2;2;2;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;2;2;;2;;2;;;3;;;;;;;"101000202";"22";2;-1;3;1;0;301;282
"10100020391";"01";1;1;2;"";;20;2;"";2;4;"";1;"";6;"";4;0;2;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;2;2;;2;;2;;;3;;;;;;;"101000202";"22";2;-1;3;1;0;301;282
"10100020431";"01";1;1;2;"";;20;2;"";2;4;"";1;"";6;"";2;0;1;1;3;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;2;2;;2;;2;;;3;;;;;;;"101000202";"22";2;-1;2;1;-1;301;282
"10100020481";"01";1;1;2;"";;10;2;"";2;4;"";1;"";8;"DE SU VECINA";3;0;2;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;1;1;2;;2;;2;;;3;;;;;;;"101000202";"22";2;-1;3;1;0;301;282
"10100020521";"01";1;1;2;"";;20;2;"";1;4;"";1;"";6;"";2;2;2;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;;2;;;3;;;;;;;"101000202";"22";2;-1;2;1;-1;301;282
"10120120021";"01";1;1;2;"";;100;2;"";1;2;"";1;"";6;"";4;0;2;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;2;2;;2;;2;;;3;;;;;;;"101200112";"22";2;0;2;1;-1;234;219
"10120120051";"01";1;1;2;"";;15;2;"";1;2;"";1;"";6;"";4;0;2;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;;2;;;3;;;;;;;"101200112";"22";2;0;3;1;0;234;219
"10120120081";"01";1;1;2;"";;20;2;"";1;2;"";1;"";6;"";4;0;2;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;2;2;;2;;2;;;3;;;;;;;"101200112";"22";2;0;3;1;0;234;219
"10120120111";"01";1;1;2;"";;30;2;"";1;2;"";1;"";6;"";2;0;2;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;2;2;;2;;2;;;3;;;;;;;"101200112";"22";2;0;3;1;0;234;219
"10120120131";"01";1;1;2;"";;30;2;"";1;2;"";5;"";6;"";4;0;2;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;;2;;;3;;;;;;;"101200112";"22";2;0;3;1;0;234;219
"10120120161";"01";1;1;2;"";;30;2;"";1;2;"";5;"";6;"";4;0;2;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;;2;;;3;;;;;;;"101200112";"22";2;0;2;1;0;234;219
"10120120191";"01";1;1;2;"";;30;2;"";1;2;"";1;"";6;"";4;0;2;;;2;;7;"ABONO PARA LA TIERRA";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;1;1;2;;2;;2;;;3;;;;;;;"101200112";"22";2;0;2;1;-1;234;219
"10120120221";"01";1;1;2;"";;50;2;"";2;2;"";1;"";6;"";4;0;2;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;;2;;;3;;;;;;;"101200112";"22";2;0;2;1;-1;234;219
"10120120251";"01";1;1;2;"";;100;2;"";1;2;"";1;"";6;"";2;0;2;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;1;2;;2;;2;;;3;;;;;;;"101200112";"22";2;0;2;1;-1;234;219
"10120120281";"01";1;1;2;"";;20;2;"";1;2;"";1;"";6;"";4;0;2;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;1;2;;2;;2;;;3;;;;;;;"101200112";"22";2;0;3;1;0;234;219
"10120120301";"01";1;1;2;"";;50;2;"";1;2;"";1;"";6;"";4;0;2;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;2;2;;2;;2;;;3;;;;;;;"101200112";"22";2;0;2;1;-1;234;219
"10120120331";"01";1;1;2;"";;100;2;"";1;1;"";1;"";5;"";4;0;2;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;2;2;;2;;2;;;3;;;;;;;"101200112";"22";2;-1;3;1;0;234;219
