folio;departamento;n_hogar;s8_01;s8_02;s8_02e;s8_03;s8_04;s8_05;s8_05e;s8_06;s8_07;s8_07e;s8_08;s8_08e;s8_09;s8_09e;s8_10;s8_11;s8_12;s8_13;s8_14;s8_15;s8_16;s8_163;s8_171a;s8_171b;s8_172a;s8_172b;s8_173a;s8_173b;s8_174a;s8_174b;s8_174e;s8_181a;s8_181b;s8_182a;s8_182b;s8_183a;s8_183b;s8_184a;s8_184b;s8_185a;s8_185b;s8_185e;s8_19;s8_20;s8_21;s8_22;s8_23;s8_24;s8_25;s8_26;s8_27;s8_28;upm;estrato;area;factor_ant;factor
"10086100101";1;"1";1;2;"";;20;2;"";1;2;"";5;"";8;"";0;6;;;2;;3;"";1;30;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;1;1;2;;2;;2;"100860110";"31";2;417;416
"10086100121";1;"1";1;2;"";;50;2;"";1;1;"";1;"";8;"";0;6;;;2;;3;"";1;200;2;;2;;2;;"";1;200;2;;2;;2;;2;;"";1;1;0;3;2;2;;2;;2;"100860110";"31";2;417;416
"10086100131";1;"1";1;2;"";;30;2;"";2;4;"";1;"";8;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;3;1;2;;2;;2;"100860110";"31";2;417;416
"10086100151";1;"1";1;2;"";;50;2;"";2;4;"";1;"";8;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;3;2;2;;2;;2;"100860110";"31";2;417;416
"10086100161";1;"1";1;2;"";;50;4;"";2;2;"";1;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;1;2;;2;;2;"100860110";"31";2;417;416
"10086100181";1;"1";1;2;"";;30;2;"";2;4;"";1;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;4;2;2;;2;;2;"100860110";"31";2;417;416
"10095010031";1;"1";1;2;"";;30;2;"";1;2;"";5;"";8;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;2;2;;2;;2;"100950101";"31";2;206;206
"10095010051";1;"1";1;2;"";;50;2;"";1;2;"";5;"";6;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;10;3;1;2;;2;;2;"100950101";"31";2;206;206
"10095010071";1;"1";1;2;"";;50;2;"";1;2;"";5;"";8;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;30;1;1;2;;2;;2;"100950101";"31";2;206;206
"10095010091";1;"1";1;2;"";;50;2;"";1;2;"";5;"";6;"";2;6;;;1;13;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;30;2;1;2;;2;;2;"100950101";"31";2;206;206
"10095010111";1;"1";4;4;"";;50;2;"";2;2;"";5;"";6;"";5;6;;;1;12;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;4;15;1;0;2;;2;;2;"100950101";"31";2;206;206
"10095010131";1;"1";1;2;"";;40;2;"";2;2;"";5;"";6;"";0;6;;;1;13;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;8;3;1;2;;2;;2;"100950101";"31";2;206;206
"10095010151";1;"1";1;2;"";;30;2;"";1;2;"";5;"";6;"";0;4;;1;1;15;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;3;1;2;;2;;2;"100950101";"31";2;206;206
"10095010171";1;"1";1;2;"";;30;2;"";1;2;"";5;"";6;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;4;7;2;1;2;;2;;2;"100950101";"31";2;206;206
"10095010191";1;"1";1;2;"";;30;2;"";1;2;"";5;"";6;"";2;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;1;2;;2;;2;"100950101";"31";2;206;206
"10095010211";1;"1";1;2;"";;30;2;"";1;2;"";1;"";8;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;3;2;2;;2;;2;"100950101";"31";2;206;206
"10095010231";1;"1";1;2;"";;30;2;"";2;4;"";1;"";6;"";2;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;4;1;2;;2;;2;"100950101";"31";2;206;206
"10095010251";1;"1";1;2;"";;30;2;"";1;2;"";5;"";8;"";0;6;;;1;12;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;4;2;2;;2;;2;"100950101";"31";2;206;206
"10109060031";1;"1";1;2;"";;30;2;"";1;2;"";1;"";7;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;15;4;2;2;;2;;2;"101090106";"31";2;370;369
"10109060071";1;"1";1;2;"";;40;2;"";1;4;"";5;"";8;"";0;6;;;2;;2;"";1;50;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;3;2;2;;2;;2;"101090106";"31";2;370;369
"10109060111";1;"1";1;2;"";;100;2;"";1;2;"";1;"";7;"";0;6;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;10;2;1;2;;2;;2;"101090106";"31";2;370;369
"10109060151";1;"1";1;2;"";;30;2;"";1;4;"";5;"";8;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;4;2;2;;2;;2;"101090106";"31";2;370;369
"10109060191";1;"1";1;2;"";;70;2;"";1;4;"";1;"";5;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;3;1;2;;2;;2;"101090106";"31";2;370;369
"10109060231";1;"1";1;2;"";;40;2;"";1;2;"";1;"";8;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;30;2;1;2;;2;;2;"101090106";"31";2;370;369
"10109060271";1;"1";1;2;"";;30;2;"";1;2;"";1;"";7;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;1;2;;2;;2;"101090106";"31";2;370;369
"10109060311";1;"1";1;2;"";;50;2;"";1;2;"";5;"";8;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;1;2;;2;;2;"101090106";"31";2;370;369
"10109060351";1;"1";1;2;"";;50;2;"";1;2;"";5;"";5;"";0;6;;;2;;2;"";1;250;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;5;4;1;2;;2;;2;"101090106";"31";2;370;369
"10109060391";1;"1";1;2;"";;40;2;"";1;2;"";5;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;6;2;1;2;;2;;2;"101090106";"31";2;370;369
"10109060431";1;"1";1;2;"";;30;2;"";1;2;"";1;"";7;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;4;1;2;;2;;2;"101090106";"31";2;370;369
"10109060471";1;"1";1;2;"";;50;2;"";1;4;"";5;"";4;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;4;30;1;0;2;;2;;2;"101090106";"31";2;370;369
