folio;upm;s11a_01;s11a_02;s11a_02_1;s11a_03a;s11a_03b;s11a_04a;s11a_04b;s11a_05;s11a_05e;s11a_06;s11a_07;s11a_07e;s11a_08;s11a_08e;s11a_09;s11a_10a;s11a_10b;s11a_11a;s11a_11b;s11a_12;s11a_13a;s11a_13b;s11a_13c;s11a_13d;s11a_13e;s11a_13f;s11a_13g;s11a_13h;s11a_13i;s11a_13j;s11a_13k;s11a_13ke;area;depto;estrato;factor
113770;"262-06102009911-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
113782;"262-06102009911-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
113783;"262-06102009911-A";1;1;1;20802;"GUAQUI";1;4;10;"";5;1;"";11;"";2;;;300;1;2;0;250;50;0;0;0;0;0;0;0;0;"";1;2;"12";202
113821;"262-06033945107-A";1;1;1;20601;"Sorata";2;2;2;"";4;4;"";7;"";2;;;1000;1;2;0;250;220;0;30;0;0;0;0;0;500;"";1;2;"12";220
113826;"262-06033945107-A";1;1;1;10101;"SUCRE";2;2;5;"";2;4;"";2;"";2;;;1100;1;3;100;200;200;0;10;0;90;0;0;0;500;"";1;2;"12";220
113832;"262-06033945107-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";220
113864;"262-06076867646-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
113867;"262-06076867646-A";1;1;1;20301;"Coro Coro";2;1;2;"";5;1;"";7;"";2;;;210;1;2;0;50;0;0;10;0;0;0;0;0;150;"GASOLINA";1;2;"12";202
113873;"262-06076867646-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
113879;"312-05222076845-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;3;"12";198
113884;"312-05222076845-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;3;"12";198
113885;"312-05222076845-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;3;"12";198
113895;"612-02984203902-A";1;1;1;10902;"Culpina";2;2;2;"";3;4;"";8;"";2;;;600;1;2;0;60;240;0;0;0;0;0;0;100;200;"";1;6;"12";139
113896;"612-02984203902-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113897;"612-02984203902-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113908;"312-05222076845-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;3;"12";198
113912;"312-05222076845-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;3;"12";198
113918;"312-05222076845-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;3;"12";198
113927;"261-06164540200-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";146
