folio;departamento;totper;rcompra;s7_13_01;s7_13_02;s7_13_03;s7_13_04;s7_13_05;s7_13_06;s7_13_07;s7_13_08;s7_13_09;s7_13_10;s7_13_11;s7_13_12;s7_13_13;s7_13_14;s7_13_15;s7_14_01;s7_14_02;s7_14_03;s7_14_04;s7_14_05;s7_14_06;s7_14_07;s7_14_08;s7_14_09;s7_15_01;s7_15_02;s7_15_03;s7_15_04;s7_15_05;s7_15_06;s7_15_07;s7_15_08;s7_15_09;s7_15_10;s7_15_11;s7_15_12;s7_15_13;s7_15_14;s7_15_15;upm;estrato;area;suma_sal;factor_ant;factor
"10142020581";"01";2;1;20;0;0;0;0;0;10;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;66.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101420102";"22";2;104.6666666666667;271;254
"10154040021";"01";2;2;22;0;80;0;0;0;16;7;0;0;10;250;0;0;0;10;0;66.66666666666667;66.66666666666667;0;0;0;0;0;0;0;0;0;0;.8333333333333334;0;0;0;0;0;0;0;0;0;"101540304";"22";2;529.1666666666667;327;306
"10154040051";"01";7;1;60;0;30;0;0;0;33;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;"101540304";"22";2;153;327;306
"10154040081";"01";2;2;25;0;0;0;0;0;30;0;20;800;10;2000;0;0;200;0;0;0;133.3333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;16.66666666666667;0;0;0;0;"101540304";"22";2;3260;327;306
"10154040111";"01";1;1;35;0;100;0;0;0;45;0;0;0;0;200;0;0;0;0;0;0;83.33333333333333;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101540304";"22";2;563.3333333333333;327;306
"10154040141";"01";6;2;30;0;100;0;0;0;20;30;0;0;60;0;0;0;0;0;0;11.66666666666667;0;0;0;10;0;0;0;0;0;0;31.66666666666667;0;0;0;0;0;0;0;0;0;0;"101540304";"22";2;293.3333333333333;327;306
"10154040171";"01";3;2;35;0;100;0;0;0;40;15;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101540304";"22";2;340;327;306
"10154040201";"01";3;2;50;0;30;0;0;0;20;50;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;6.666666666666667;0;0;16.66666666666667;0;0;0;0;0;0;0;"101540304";"22";2;223.3333333333333;327;306
"10154040231";"01";4;1;100;0;200;0;0;0;50;14;0;0;60;500;0;0;0;66.66666666666667;0;166.6666666666667;100;0;0;0;66.66666666666667;0;0;0;0;0;116.6666666666667;8.333333333333334;0;0;0;0;0;0;0;0;0;"101540304";"22";2;1449;327;306
"10154040261";"01";6;2;50;0;100;0;0;0;20;21;0;0;0;0;0;0;0;0;0;100;66.66666666666667;0;0;0;40;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;"101540304";"22";2;547.6666666666667;327;306
