folio;upm;s01a_00a;s01a_00b;s01a_00c;s01a_01;totper;s01a_02;s01a_02e;s01a_03;s01a_03e;s01a_04;s01a_05;s01a_06;s01a_06e;s01a_07;s01a_08;s01a_08e;s01a_09;s01a_09e;s01a_10;s01a_10e;s01a_11aa;s01a_11ab;s01a_11b;s01a_12;s01a_13;s01a_14_1;s01a_14_2;s01a_14_3;s01a_15;s01a_16;s01a_17;s01a_18;s01a_19;s01a_20;s01a_21;s01a_21e;s01a_22_1a;s01a_22_1b;s01a_22_2a;s01a_22_2b;s01a_22_3a;s01a_22_3b;s01a_22_4a;s01a_22_4ae;s01a_22_4b;s01a_23_1a;s01a_23_1b;s01a_23_2a;s01a_23_2b;s01a_23_3a;s01a_23_3b;s01a_23_4a;s01a_23_4b;s01a_23_5a;s01a_23_5ae;s01a_23_5b;s01a_24;s01a_25;s01a_25e;s01a_26;s01a_27;s01a_28;s01a_29;s01a_30;s01a_31;area;depto;estrato;factor
130811;"622-03354483213-A";4;11;2016;4;6;7;"";;"";;200;2;"";1;1;"";5;"";8;"";;;;13;2;2;1;1;1;2;2;5;1;60;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;2;2;2;;2;1;6;"12";139
130812;"622-03354483213-A";5;11;2016;4;1;6;"";;"";;200;1;"";1;1;"";5;"";8;"";;;;20;2;2;1;1;1;2;2;2;1;30;5;"";2;;1;164;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;1;2;;1;1;6;"12";139
130813;"622-03354483213-A";4;11;2016;4;1;6;"";;"";;100;1;"";1;1;"";6;"";8;"";;;;20;2;2;1;1;1;2;2;2;1;25;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;1;1;2;;2;1;6;"12";139
130833;"522-02552435672-A";5;11;2016;1;2;1;"";4;"";;800;2;"";1;1;"";5;"";2;"";8;0;3;23;2;1;1;1;1;1;1;;1;70;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;4;1;2;;2;1;5;"12";283
130837;"522-02552435672-A";5;11;2016;4;3;1;"";4;"";;1000;1;"";1;1;"";5;"";2;"";12;0;4;23;1;1;1;1;1;1;2;2;1;35;6;"";2;;2;;2;;2;"";;1;15000;2;;2;;2;;2;"";;1;3;"";23;4;4;2;;1;1;5;"12";283
130845;"641-02992490167-D";3;11;2016;1;3;1;"";4;"";;150;2;"";1;2;"";5;"";9;"";;;;8;1;2;1;1;5;;;;1;17;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;1;1;2;;2;2;6;"21";159
130849;"641-02992490167-D";4;11;2016;1;4;1;"";4;"";;350;1;"";1;2;"";5;"";9;"";;;;8;1;2;1;1;5;;;;1;40;4;"";2;;2;;2;;1;"LEVANTAR DOS PAREDES";1500;2;;2;;2;;2;;2;"";;1;3;"";17;2;2;2;;2;2;6;"21";159
130850;"641-02992490167-D";4;11;2016;1;1;1;"";4;"";;300;2;"";1;2;"";5;"";9;"";;;;8;2;2;1;2;3;;1;;1;12;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;1;1;2;;2;2;6;"21";159
130863;"712-05226615851-A";4;11;2016;1;3;1;"";4;"";;1500;1;"";1;2;"";6;"";2;"";24;0;7;150;2;1;2;2;1;1;1;;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";20;2;2;2;;2;1;7;"12";415
130864;"712-05226615851-A";4;11;2016;4;3;3;"";;"";400;;1;"";1;2;"";6;"";2;"";24;0;7;50;2;1;2;2;1;1;2;2;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";12;1;0;2;;1;1;7;"12";415
