idep;ipro;isec;i03;i04;i05;i06;i07;i08;i09;i10;i13;typ;i12;i122;v01;v02;v03;v04;v05;v06;v07;v08;v081;v082;v09;v10;v11;v12;v13;v14;v15a;v15b;v15c;v15d;v15e;v15f;v15g;v15h;v15i;v16a;v16b;v16c;v16d;v16e;v17;v171a;v171b1;v171b2;v171b3;v171b4;v171b5;v172a;v172b1;v172b2;v172b3;v172b4;v172b5;v18h;v18m;v18t;otro1;v20;v21;v22;otro2;nbi;urba;vparti
9;1;1;1;101;1;10;1;2;9999;16;16;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"026";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;2;9999;17;17;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"026";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;2;9999;18;18;1;;;1;1;5;2;1;4;2;3;;;2;1;1;2;5;6;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;;;;;;;;;;;;;1;1;2;"026";2;4;1;" ";1376;1;1
9;1;1;1;101;1;10;1;2;9999;19;19;1;;;4;1;6;4;5;4;2;2;1;3;2;2;2;2;1;1;4;0;0;0;0;0;0;0;0;0;4;0;0;0;2;;;;;;;;;;;;;2;2;4;"026";3;10;1;" ";1458;1;1
9;1;1;1;101;1;10;1;2;9999;20;20;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"026";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;2;9999;21;21;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"026";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;2;9999;22;22;1;;;1;1;5;1;1;4;2;3;;;2;2;1;1;7;6;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;;;;;;;;;;;;;1;0;1;"026";1;4;1;" ";909;1;1
9;1;1;1;101;1;10;1;2;9999;23;23;1;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"026";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;2;9999;24;24;1;;;3;1;5;1;1;4;2;3;;;2;1;1;1;1;1;0;0;0;5;2;0;0;0;0;0;2;5;0;0;2;;;;;;;;;;;;;4;3;7;"026";2;4;1;" ";1337;1;1
9;1;1;1;101;1;10;1;2;9999;25;25;1;;;1;1;5;4;1;3;1;3;;;2;1;1;2;3;1;0;0;0;5;0;0;0;0;0;0;5;0;0;0;2;;;;;;;;;;;;;3;2;5;"026";3;5;1;" ";1401;1;1
